obs_id,quality_pred
id_000001,4.9925805932550755
id_000002,4.91539311827374
id_000003,5.036667629746648
id_000004,5.766025176781604
id_000005,4.9925805932550755
id_000006,5.047264473324153
id_000007,5.099932381933579
id_000008,5.387738373726374
id_000009,5.271592425246583
id_000010,5.7800948985594065
id_000011,5.065851130730138
id_000012,5.7800948985594065
id_000013,5.3972998984772715
id_000014,5.584881277077851
id_000015,5.218862327322052
id_000016,5.25433857073326
id_000017,6.019322933687071
id_000018,5.401655843028225
id_000019,5.115197128778001
id_000020,5.552013177080361
id_000021,5.843311988410915
id_000022,5.565784786471459
id_000023,5.5647478628810285
id_000024,5.237793451003955
id_000025,5.62840522342623
id_000026,5.449127273374182
id_000027,5.490536816418868
id_000028,5.5647478628810285
id_000029,4.99636274071373
id_000030,5.301603492049646
id_000031,5.20587884609684
id_000032,5.429763380617428
id_000033,5.130105567639827
id_000034,5.4928971034985565
id_000035,5.412103555614598
id_000036,5.222018339842394
id_000037,5.516109331629488
id_000038,5.668434203446394
id_000039,4.540496754303548
id_000040,5.833549064549468
id_000041,5.833549064549468
id_000042,5.106284788776725
id_000043,5.653872809947962
id_000044,5.734221437319069
id_000045,5.135158751667982
id_000046,6.476764621962147
id_000047,4.563166256658747
id_000048,5.61516549294676
id_000049,5.390066997661834
id_000050,5.374168439825915
id_000051,5.061925911287605
id_000052,5.428980576386157
id_000053,5.455114793315949
id_000054,5.474100489068744
id_000055,5.646563900217412
id_000056,5.215974460422073
id_000057,5.595620942417119
id_000058,5.313954094059338
id_000059,5.344969381307756
id_000060,5.508905598039515
id_000061,5.494460951608324
id_000062,4.900706808514731
id_000063,5.345394172140079
id_000064,5.03989308623456
id_000065,5.442151506812351
id_000066,5.442151506812351
id_000067,5.334258410493989
id_000068,5.341108696008123
id_000069,6.124998344454003
id_000070,5.615037262572231
id_000071,5.163756869357262
id_000072,5.002577922290221
id_000073,4.976419449094335
id_000074,4.922066774700593
id_000075,5.771889574211272
id_000076,5.733412755154757
id_000077,5.733412755154757
id_000078,5.278027767150775
id_000079,5.046735852064521
id_000080,5.247022751807671
id_000081,5.321019861997996
id_000082,5.495245238485797
id_000083,5.177220570545079
id_000084,5.124960952391738
id_000085,5.9549743815238765
id_000086,5.510326589466617
id_000087,6.021608922356269
id_000088,5.460106366673918
id_000089,5.798086261745153
id_000090,4.940007764249544
id_000091,5.265431521022579
id_000092,6.021608922356269
id_000093,6.022284310044248
id_000094,5.460106366673918
id_000095,5.093043553035262
id_000096,6.325403941663093
id_000097,5.290338793533023
id_000098,5.2336503644020045
id_000099,4.885036476907209
id_000100,5.144276648984356
id_000101,5.37622937057032
id_000102,5.615753212174937
id_000103,5.144276648984356
id_000104,5.092161476458922
id_000105,5.282486341191433
id_000106,5.092161476458922
id_000107,5.468469065628377
id_000108,5.118877991407331
id_000109,5.68870333619848
id_000110,4.795663366479429
id_000111,5.413904522195317
id_000112,5.181428227576147
id_000113,5.2208270908866385
id_000114,5.7587316942225915
id_000115,5.413904522195317
id_000116,5.739487850407636
id_000117,5.381449615396232
id_000118,5.17910896359723
id_000119,5.675858920292169
id_000120,4.9525463787451764
id_000121,4.223098290485824
id_000122,5.675858920292169
id_000123,4.919210217951622
id_000124,5.0512223260731695
id_000125,5.306244737154221
id_000126,5.046135471792152
id_000127,4.546544539882003
id_000128,4.5429794424325145
id_000129,5.775562725709822
id_000130,5.528363609016811
id_000131,4.869625002447501
id_000132,6.4507354793656715
id_000133,6.4507354793656715
id_000134,5.5526365638217605
id_000135,4.696682529902137
id_000136,5.141030109002512
id_000137,5.0918632870935685
id_000138,5.414826792216752
id_000139,5.19917459084208
id_000140,5.193713787547948
id_000141,5.141030109002512
id_000142,5.0918632870935685
id_000143,7.310160571357234
id_000144,5.4890964528129444
id_000145,7.310160571357234
id_000146,4.915829199812326
id_000147,5.2898782866674
id_000148,5.131916318023715
id_000149,5.63112274422549
id_000150,5.830386612459949
id_000151,5.807008237229146
id_000152,5.577411056489341
id_000153,5.431690553152242
id_000154,5.431690553152242
id_000155,5.862330090577681
id_000156,5.851707879488344
id_000157,5.862330090577681
id_000158,5.851707879488344
id_000159,5.050376368091249
id_000160,5.147596084175092
id_000161,4.702749327014126
id_000162,5.254666018084977
id_000163,5.480087412251083
id_000164,5.283370667698503
id_000165,5.288664840037273
id_000166,5.038953373015515
id_000167,5.245414549987424
id_000168,5.196363746821577
id_000169,5.478735184353942
id_000170,5.366760288314526
id_000171,4.521553161693927
id_000172,5.3795755786911
id_000173,5.3795755786911
id_000174,5.7853968396214945
id_000175,5.459430662809818
id_000176,5.510752637236441
id_000177,5.459430662809818
id_000178,5.616400519223868
id_000179,4.964140099767181
id_000180,5.2042406923632365
