obs_id,price_pred
id_000001,1006749.9365457468
id_000002,685994.3428519918
id_000003,669398.8299226264
id_000004,558330.3068593228
id_000005,529725.1271853873
id_000006,484539.0888628557
id_000007,489678.5558078009
id_000008,477288.56079459726
id_000009,456030.4068944304
id_000010,461857.94879637833
id_000011,544031.0447133923
id_000012,351720.10787592613
id_000013,382478.6822061234
id_000014,398894.653924725
id_000015,446390.3136098055
id_000016,427694.1172407989
id_000017,461994.80614738964
id_000018,440436.1651381137
id_000019,408540.35208555474
id_000020,370203.70449385385
id_000021,403230.39557095594
id_000022,380352.9786227526
id_000023,378650.6207374688
id_000024,319117.5701935102
id_000025,318329.8273953615
id_000026,415869.0121912116
id_000027,402831.7898542314
id_000028,412857.1588849522
id_000029,441085.0237820213
id_000030,492192.76193602546
id_000031,450685.25631450483
id_000032,467007.43744709744
id_000033,655612.4653492431
id_000034,536840.6160528952
id_000035,462806.9336158476
id_000036,573506.7006734329
id_000037,520170.5994292774
id_000038,984272.8462028693
id_000039,828308.4925194887
id_000040,763828.9111000061
id_000041,912140.4374677638
id_000042,727021.3769984182
id_000043,505756.6536204052
id_000044,534733.9886819153
id_000045,753910.29494519
id_000046,992869.0699829998
id_000047,541709.2867088665
id_000048,473877.35694007145
id_000049,411350.01379704365
id_000050,395401.99125317007
id_000051,381747.60974671785
id_000052,458876.5480590407
id_000053,438965.8496842709
id_000054,421307.68960382923
id_000055,383496.208806049
id_000056,383968.885324648
id_000057,353961.7769229969
id_000058,435041.36881335854
id_000059,418802.28962315334
id_000060,373666.50611450936
id_000061,346359.89870930027
id_000062,349050.4613654124
id_000063,388803.4984797945
id_000064,374535.1729874456
id_000065,361554.93047861767
id_000066,423781.415745623
id_000067,573841.0910391427
id_000068,469404.8330089347
id_000069,586207.3973768844
id_000070,364032.43932399724
id_000071,353970.38958215807
id_000072,326024.17994090513
id_000073,340257.8069361602
id_000074,402872.2719263545
id_000075,376177.9890284862
id_000076,369435.1875628665
id_000077,379087.42766369093
id_000078,464329.321440344
id_000079,367486.1458415287
id_000080,526136.179420469
id_000081,668157.4832384827
id_000082,714218.8484781673
id_000083,367699.77811121376
id_000084,410355.8111077352
id_000085,354388.549373888
id_000086,308296.9141272463
id_000087,352609.08096385247
id_000088,330273.52148824144
id_000089,316443.19969377416
id_000090,299117.85499026824
id_000091,350866.45596261
id_000092,338948.15887369873
id_000093,278791.48572099564
id_000094,331308.56619247433
id_000095,340897.523558123
id_000096,354576.42311807873
id_000097,363206.71174187603
id_000098,352506.67814261134
id_000099,453770.61477189686
id_000100,626205.1690691976
id_000101,458072.682381015
id_000102,402973.1613075787
id_000103,328224.61954559205
id_000104,310975.6353531532
id_000105,386336.5572978371
id_000106,401587.8002412649
id_000107,694423.2167208878
id_000108,542464.8657445218
id_000109,479830.7893144995
id_000110,591378.5730666786
id_000111,611249.5808611758
id_000112,906573.1654267282
id_000113,968643.0237060112
id_000114,814856.3323474638
id_000115,895877.2857224869
id_000116,909197.4347493786
id_000117,842740.9373569898
id_000118,641384.53897644
id_000119,651053.0479675782
id_000120,596867.5024656572
id_000121,481635.7434946602
id_000122,419291.41821206565
id_000123,550628.5382484212
id_000124,506864.5525150503
id_000125,541258.2484361238
id_000126,604770.1800768689
id_000127,542856.2488261004
id_000128,472899.13959141215
id_000129,582459.131774474
id_000130,487690.65355931513
id_000131,503398.7847054821
id_000132,496343.1692751294
id_000133,510700.0298538429
id_000134,563504.5649012264
id_000135,628113.7454491486
id_000136,496117.79386643297
id_000137,732123.4911798855
id_000138,560635.7791434659
id_000139,712093.0569560765
id_000140,482906.74085287977
id_000141,443965.0104866936
id_000142,487045.7231127496
id_000143,533840.2545526107
id_000144,544092.4088308275
id_000145,414809.78246275557
id_000146,675252.0168356166
id_000147,548279.5216026627
id_000148,585843.936996393
id_000149,442504.0348503859
id_000150,474799.6650323173
id_000151,614652.7156380214
id_000152,615330.5640167248
id_000153,493929.4470225145
id_000154,593249.800779053
id_000155,613041.977101358
id_000156,556509.3380063013
id_000157,767882.1752964072
id_000158,505163.6774036809
id_000159,520205.33050688147
id_000160,473118.9936889878
id_000161,650084.4930185808
id_000162,696529.3882634629
id_000163,706950.4850656391
id_000164,578033.6817990808
id_000165,626068.2991300446
id_000166,656756.2932110075
id_000167,428928.22468308767
id_000168,592267.0104882836
id_000169,542189.068435127
id_000170,467147.28176670586
id_000171,433056.87478232547
id_000172,368949.76968253264
id_000173,468779.5821791274
id_000174,387559.8618453038
id_000175,507640.1792442831
id_000176,466011.44635578094
id_000177,480496.7974508299
id_000178,426575.43753347185
id_000179,369478.7054712783
id_000180,419028.8131544344
id_000181,356275.3835269752
id_000182,547782.1114724423
id_000183,525683.8387269865
id_000184,400546.67392129696
id_000185,427445.8437623004
id_000186,340493.4409060637
id_000187,346702.8333709537
id_000188,386040.06167649326
id_000189,414969.58140066965
id_000190,393044.5734492886
id_000191,402523.5392498524
id_000192,383286.41594763834
id_000193,363116.1232848526
id_000194,390053.1495736193
id_000195,324869.92990465846
id_000196,375799.5396328568
id_000197,556154.6856921857
id_000198,752899.4698094456
id_000199,417395.30369870213
id_000200,497473.85956170305
id_000201,365389.1561789983
id_000202,398028.575352289
id_000203,379309.2961354179
id_000204,348672.3153278985
id_000205,369131.49622818094
id_000206,382612.61720782425
id_000207,383989.539623073
id_000208,390758.6224182664
id_000209,395827.30375563033
id_000210,399047.36256115447
id_000211,326272.1252485526
id_000212,370423.2672049285
id_000213,483175.02608917514
id_000214,666846.3922762222
id_000215,396537.6532046161
id_000216,343886.461882063
id_000217,376570.62526560243
id_000218,338406.7795795673
id_000219,445744.5652143118
id_000220,368003.6799027288
id_000221,399354.29437964497
id_000222,474867.68833513703
id_000223,379738.0305216122
id_000224,390970.35963281157
id_000225,432694.49835724966
id_000226,440717.4284630841
id_000227,339484.2938357837
id_000228,365562.52406917576
id_000229,390536.99496108433
id_000230,353469.25007318525
id_000231,442446.11791504256
id_000232,357591.1985054618
id_000233,486558.5528490133
id_000234,441835.3639299304
id_000235,359307.74253115867
id_000236,443791.4220412682
id_000237,341510.9248986866
id_000238,379767.8936883069
id_000239,353146.210965257
id_000240,442071.38416670763
id_000241,369329.4366874704
id_000242,418131.01279248483
id_000243,515593.86499439913
id_000244,530654.2264930158
id_000245,490025.08505002543
id_000246,448228.9746680151
id_000247,472217.8226197641
id_000248,455761.6556197499
id_000249,758470.962914021
id_000250,558403.9397700513
id_000251,489750.3620676801
id_000252,669021.7835192387
id_000253,428660.5210099192
id_000254,636078.2417098267
id_000255,585386.8025149071
id_000256,705100.509187833
id_000257,598713.7088788972
id_000258,518488.4941611764
id_000259,619023.9011228445
id_000260,611174.4164757079
id_000261,667584.7555068826
id_000262,594697.0393341595
id_000263,547887.9998226428
id_000264,515887.81474035815
id_000265,644508.736877239
id_000266,513257.001034604
id_000267,492265.9153974732
id_000268,466787.79780604783
id_000269,509867.600495805
id_000270,598697.4400684454
id_000271,489850.20482440223
id_000272,582341.9469531128
id_000273,637436.6960127493
id_000274,499599.6066261396
id_000275,492011.24284962483
id_000276,736895.7923879905
id_000277,721903.8323871794
id_000278,493154.2947179489
id_000279,494659.2466365949
id_000280,524294.3593504757
id_000281,497802.7631491801
id_000282,585977.7887031792
id_000283,559145.0819743973
id_000284,590571.326464989
id_000285,491277.4568332947
id_000286,517134.62962417235
id_000287,455452.27305625565
id_000288,480552.13043083315
id_000289,782389.5601967128
id_000290,731250.0336389247
id_000291,701408.1297589113
id_000292,482599.41790237575
id_000293,647089.8664131538
id_000294,486408.11629418837
id_000295,466111.6622803202
id_000296,578814.069922771
id_000297,532878.3054244946
id_000298,455897.4166539675
id_000299,469288.63509395625
id_000300,503982.81616592215
id_000301,509873.4272074279
id_000302,617816.6482917119
id_000303,727815.1020239675
id_000304,542943.9080453031
id_000305,581608.9337825502
id_000306,535402.1037509041
id_000307,571137.1485523959
id_000308,815766.2883825576
id_000309,750440.4602067488
id_000310,635729.9078851254
id_000311,729037.6130816791
id_000312,635392.9438479037
